seed,seed_hex,family,total,directional,baseline_s_per_source,route_s_per_source,v1_s_per_source,delta_base,delta_route
0,0000000000000000000000000000000000000000000000000000000000000000,byte_pattern,15,12,1528.1031195333335,861.2874757333334,755.3364340666667,-772.7666854666668,-105.9510416666667
1,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,byte_pattern,14,4,756.1142978571428,756.1142978571428,756.1142978571428,0.0,0.0
2,000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f,byte_pattern,13,3,845.024532,845.024532,845.024532,0.0,0.0
3,1f1e1d1c1b1a191817161514131211100f0e0d0c0b0a09080706050403020100,byte_pattern,12,9,1002.8143435000001,1002.8143435000001,1002.8143435000001,0.0,0.0
4,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,byte_pattern,11,2,1250.2471631818182,1170.738751818182,1040.9426024545455,-209.3045607272727,-129.79614936363646
5,5555555555555555555555555555555555555555555555555555555555555555,byte_pattern,13,5,3217.735156230769,1143.7334252307692,916.3122949230769,-2301.422861307692,-227.42113030769224
6,0000000000000000000000000000000000000000000000000000000000000001,one_bit,11,6,987.966284909091,987.966284909091,987.966284909091,0.0,0.0
7,0000000000000000000000000000000000000000000000000000000000000002,one_bit,10,10,5315.9511717000005,1283.3010988,1203.8154547,-4112.135717000001,-79.48564410000017
8,0000000000000000000000000000000000000000000000000000000000000004,one_bit,16,1,704.05320025,704.05320025,704.05320025,0.0,0.0
9,0000000000000000000000000000000000000000000000000000000000000008,one_bit,16,7,3866.05885525,1087.504230125,725.5668025,-3140.49205275,-361.93742762500005
10,0000000000000000000000000000000000000000000000000000000000000010,one_bit,14,10,2394.6430739285715,1024.7193678571427,889.3402905714286,-1505.302783357143,-135.37907728571417
11,0000000000000000000000000000000000000000000000000000000000000020,one_bit,16,14,1318.4564358125,800.582608875,745.4616541875,-572.9947816250001,-55.12095468749999
12,0000000000000000000000000000000000000000000000000000000000000040,one_bit,15,4,1231.7371938,845.0817388666667,783.1293859333333,-448.6078078666666,-61.95235293333337
13,0000000000000000000000000000000000000000000000000000000000000080,one_bit,10,3,1118.0162,1118.0162,1118.0162,0.0,0.0
14,0000000000000000000000000000000000000000000000000000000000000100,one_bit,10,9,2224.1773515,1245.7319241,1175.4450309,-1048.7323206,-70.28689320000012
15,0000000000000000000000000000000000000000000000000000000000000200,one_bit,13,12,3161.1402996153847,1073.3589236923076,898.4025434615385,-2262.737756153846,-174.95638023076913
16,0000000000000000000000000000000000000000000000000000000000000400,one_bit,15,13,2403.1674539333335,1065.0081474,868.5381130666667,-1534.6293408666668,-196.4700343333334
17,0000000000000000000000000000000000000000000000000000000000000800,one_bit,15,1,691.7817629333333,691.7817629333333,691.7817629333333,0.0,0.0
18,0000000000000000000000000000000000000000000000000000000000001000,one_bit,10,8,1230.6912058,1230.6912058,1230.6912058,0.0,0.0
19,0000000000000000000000000000000000000000000000000000000000002000,one_bit,10,9,1146.4288651000002,1140.4847782000002,1144.4633131,-1.965552000000116,3.978534899999886
20,0000000000000000000000000000000000000000000000000000000000004000,one_bit,12,4,913.6383891666666,913.6383891666666,913.6383891666666,0.0,0.0
21,0000000000000000000000000000000000000000000000000000000000008000,one_bit,12,6,910.2928795833333,909.0788188333332,905.8493360000001,-4.443543583333167,-3.2294828333331225
